feature,importance
ewma_14d,154
roll14_mean,155
hist_crime_rate,161
peak_hour_t1,179
crime_accel,200
ewma_7d,209
roll30_mean,215
area_crime_t1,248
area_dist_ratio,249
roll14_std,256
ewma_3d,262
dist_id,272
vol_ratio,281
area_roll7_mean,285
roll30_std,306
roll7_std,314
hist_mean_crime,316
day_of_year_cos,327
day_of_year_sin,335
ewma_divergence,337
